id,quanhuyen,tinhtp,toado,chieudongmt,vitri,duongtruocnha,huongnha,hinhdang,mongnha,congnha,tuongnha,trannha,sannha,cuachinh,cuaphong,cuaso,dt_dato,dt_datkhac,dt_xaydung,ngaylap,giatri
11061,Quận 12,Hồ Chí Minh,"10.8716369,106.6399459",4m,NULL,8m (lề mỗi bên 2m),Hướng Đông Bắc,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",ôp gạch,"[Cửa nhôm kính, Khác]","[Cửa gỗ, Khác]","[Cửa sắt, Khác]",52.00,0.00,201.30,2021-10-07 10:22:35.850,3830519632.00
11061,Quận 12,Hồ Chí Minh,,4m,NULL,8m (gồm mỗi lề 2m),Hướng Đông Bắc,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",ốp gạch,"[Cửa sắt, Khác]","[Cửa gỗ, Khác]","[Cửa sắt, Khác]",52.00,0.00,201.30,2021-10-07 10:22:35.850,3830519632.00
11061,Quận 12,Hồ Chí Minh,"10.871637, 106.639946",4m,NULL,8m (gồm mỗi lề 2m),Hướng Đông Bắc,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",ôp gạch,"[Cửa sắt, Khác]","[Cửa gỗ, Khác]","[Cửa sắt, Khác]",52.00,0.00,201.30,2021-10-07 10:22:35.850,3830519632.00
11077,Quận 7,Hồ Chí Minh,,"2,4",NULL,"10M ĐƯỜNG 77, HẺM HÔNG 3M",Hướng Nam,"[Vuông vức, ]",[],Không,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",không chừa sân,"[Cửa sắt cuốn tự động, Khác]","[Cửa gỗ, Khác]","[Cửa sắt, Khác]",13.91,0.99,14.90,2021-06-11 14:52:08.060,3297234741.00
11101,Quận Tân Bình,Hồ Chí Minh,,"4,21m",NULL,7m,Hướng Đông Nam,[Chữ L],"[Móng BTCT, ]",Cổng sắt kéo tự động,"Tường xây gạch 110 bổ trụ BTCT, sơn nước",[la phông],không chừa sân,"[Cửa sắt, Khác]",[sắt kính],"[Cửa sắt, Khác]",539.00,0.00,504.10,2021-12-16 11:41:43.793,43150189867.00
11101,Quận Tân Bình,Hồ Chí Minh,"10.800457, 106.638424","4,21m",NULL,Khoảng 7m,Hướng Đông Nam,[Chữ L],"[Móng BTCT, ]",Cổng sắt kéo tự động,"Tường xây gạch 110 bổ trụ BTCT, sơn nước",[la phông],si măng,"[Cửa sắt, Khác]","[Cửa sắt, Khác]","[Cửa sắt, Khác]",539.00,0.00,504.10,2021-12-16 11:41:43.793,43150189867.00
11109,Quận 7,Hồ Chí Minh,,12,NULL,"3,5m + 2m",Hướng Nam,"[Tương đối vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước",[lau phông],không chừa sân,"[Cửa nhôm, Khác]","[Cửa nhôm kính, Khác]",[Khác],142.40,18.00,80.05,2021-07-13 12:22:10.547,12031213050.00
11109,Quận 7,Hồ Chí Minh,,12,NULL,"3,5m + 2m",Hướng Nam,"[Tương đối vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước",[lau phông],không chừa sân,"[Cửa nhôm, Khác]","[Cửa nhôm kính, Khác]",[Khác],142.40,18.00,80.05,2021-07-13 12:22:10.547,12031213050.00
11109,Quận 7,Hồ Chí Minh,,"11,8",NULL,"3,5",Hướng Nam,"[Tương đối vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước",[lau phông],không chừa sân,[Khác],"[Cửa nhôm kính, Khác]",[Khác],142.40,18.00,80.05,2021-07-13 12:22:10.547,12031213050.00
11109,Quận 7,Hồ Chí Minh,,"11,8",NULL,"3,5",Hướng Nam,"[Tương đối vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước",[lau phông],không chừa sân,[Khác],"[Cửa nhôm kính, Khác]",[Khác],142.40,18.00,80.05,2021-07-13 12:22:10.547,12031213050.00
